11100101 10111001 00000000    00000000 10000111 10110111    11010010 00000000 00000000    10101000 00000000 11000001    00000000 00000000 00000000    00000000 
10001000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 11010101    11000110 10100101 00000000    00000000
11011001 00000000 00000000    00000000 00000000 00000000    00000000 00000000 10111010    10010111 11111000 00000000    00000000 00000000 11011100    00000000
10010010 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    11010001 00000000 00000000    00000000

10000000 00000000 11101001    10111110 11110000 00000000    00000000 00000000 00000000    00000000 00000000 11000100    00000000 00000000 00000000    00000000 
00000000 10001110 00000000    11000001 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    00000000 10010111 00000000    00000000  
00000000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 11010111    11000111 00000000 00000000    10001111 10001111 00000000    00000000
00000000 10100000 00000000    11001111 00000000 00000000    10001001 10011110 00000000    10100110 00000000 10010100    00000000 11111101 00000000    00000000

00000000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    11000000 00000000 00000000    10001111 
10000011 00000000 00000000    10001000 00000000 00000000    00000000 10110001 00000000    00000000 00000000 00000000    00000000 00000000 00000000    00000000
00000000 11101000 00000000    11010001 00000000 11001101    00000000 10001101 00000000    10101000 00000000 00000000    10001010 11100100 00000000    00000000 
00000000 00000000 00000000    11011111 00000000 00000000    00000000 00000000 00000000    10111000 10100110 00000000    00000000 00000000 00000000    00000000
 
00000000 00000000 00000000    00000000 00000000 00000000    10000010 00000000 10011010    00000000 10010010 00000000    00000000 00000000 00000000    00000000
00000000 11100010 10010010    00000000 00000000 00000000    11000011 00000000 10100100    11110010 00000000 00000000    11111100 00000000 10101000    00000000
00000000 11001101 11101100    00000000 00000000 10100110    00000000 00000000 11001110    00000000 00000000 00000000    00000000 10101010 00000000    10111110
00000000 00000000 00000000    00000000 00000000 00000000    00000000 00000000 00000000    00000000 11101101 10001110    10011001 00000000 00000000    11011010

